Category,Terms
Countries,South Sudan
Resource,"Timber/forestry resources including current tree growth, megafolia-paulownia,  jetropha plant, palm oil trees and other hardwood trees"
Type of Mining Title,Lease Agreement
Signature Date,03-11-08
Signature Year,2008
Contract Term (duration) in Years,49 years
