Category,Terms
Countries,Liberia
Resource,"Rubber, Forestry, Other crops"
Type of Mining Title,Concession
Signature Date,01-08-59
Signature Year,1959
Contract Term (duration) in Years,70 years from date of approval by Liberian legislature
