Category,Terms
Countries,"Congo, the Democratic Republic of the"
Resource,Bois d'œuvre
Type of Mining Title,Contrat de concession forestière
Signature Date,13/12/2011
Signature Year,2011
Contract Term (duration) in Years,25 ans renouvelables.
