Category,Terms
Countries,South Sudan
Resource,"Jatropha, Oil palm or palm oils, Timber (Wood)"
Type of Mining Title,Lease Agreement
Signature Date,03-11-08
Signature Year,2008
Contract Term (duration) in Years,49 years
