Category,Terms
Countries,Ethiopia
Resource,"Cotton and subsidiary crops of cereals (maize, sorghum), oil crops (sesame, nigger, safflower) and pulses"
Type of Mining Title,Land lease agreement
Signature Date,26/12/2009
Signature Year,2009
Contract Term (duration) in Years,50 years
