Category,Terms
Countries,"Congo, the Democratic Republic of the"
Resource,Le bois d'oeuvre
Type of Mining Title,Contrat de concession forestière
Signature Date,24/10/2011
Signature Year,2011
Contract Term (duration) in Years,25 ans renouvelables
