Category,Terms
Countries,Liberia
Resource,"Rubber, Rubber products"
Type of Mining Title,Investment Incentive Contract
Signature Date,10-08-07
Signature Year,2007
Contract Term (duration) in Years,3 years as of the effective date of the contract
