Category,Terms
Countries,"Congo, the Democratic Republic of the"
Resource,Le bois d'œuvre
Type of Mining Title,Contrat de concession forestière
Signature Date,12-08-11
Signature Year,2011
Contract Term (duration) in Years,25 ans renouvelables. Le contrat prend fin le 11/08/2036.
