Category,Terms
Countries,"Congo, the Democratic Republic of the"
Resource,Le bois d'œuvre
Type of Mining Title,Contrat de concession forestière
Signature Date,04-08-11
Signature Year,2011
Contract Term (duration) in Years,25 ans renouvelables. Le contrat prend fin le 02/08/2036.
