Category,Terms
Countries,"i.e. Guinea; Liberia; Congo, Democratic Republic of; etc. For spelling, use:
http://userpage.chemie.fu-berlin.de/diverse/doc/ISO_3166.html"
Resource,"[Coal, Bauxite, etc]"
Type of Mining Title,"Exploration Permit/License
Exploitation Permit/License
Concession
Production Sharing
Service Contract
Other"
Signature Date,DD/MM/YYYY
Signature Year,YYYY
Contract Term (duration) in Years,[number]
