Category,Terms
Countries,Liberia
Resource,"Oil palm products, Palm oils, Rubber, Rubber products"
Type of Mining Title,Concession Agreement
Signature Date,21/1/2011
Signature Year,2011
Contract Term (duration) in Years,"50 years, including a rehabilitation term of 7 years"
