Category,Terms
Countries,Ethiopia
Resource,"Cotton, Maize (Corn), Sorghum, Sesame, Niger, Safflower, Grain legumes (Pulses)"
Type of Mining Title,Land lease agreement
Signature Date,26/12/2009
Signature Year,2009
Contract Term (duration) in Years,50 years
