n_language,m_contract_name,n_company,m_pdf_url,m_link_template,Metadata?,n_signature_date,n_resources,m_country,n_country,n_company_jurisdictions,n_corporate_group,n_company_identifier,n_opencorporates_id,n_project_title,n_type_of_contract,n_license_concession_name,n_government_entities,contract_category
EN,"GAC, Annex 7 - Guinée, 2010",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,OpenLandContracts
EN,"Transglobe, Yemen Co, - Yemen, 1997",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
EN,"AMC, Convention 2010 Avenant No 1 - Guinée",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
EN,"Blue Chip, Bloc25- Mauritania, 2007",,LINK TO PDF DOCUMENT IN DROPBOX,LINK TO URL OF XLS FORMATED TEMPLATE IN DROPBOX,,,,,,,,,,,,,,
,,"Thunder Bird International Liberia, Inc.",https://www.dropbox.com/s/1xk5n841p0whzrl/Thunder%20Bird%20Int%27l%20Liberia%20-%20A-8.pdf,https://www.dropbox.com/s/2be9dckugyd71rg/Thunder%20Bird%20International_Liberia.xlsm,Y,,,,,,,,,,,,,
,,Socfin Agricultural Company (S.L) Limited,https://www.dropbox.com/s/z5jqnwet7ynxde1/Socfin_Agricultural_Company_Sierra_Leone_gov_sublease.pdf,https://www.dropbox.com/s/u4x3o3mxxh52sgl/Socfin%20Agricultural%20Company_Sierra%20Leone.xlsx,Limited,,,,,,,,,,,,,
,,Gold Tree (SL) Ltd,https://www.dropbox.com/s/tbjr8x9ahchupys/Goldtree%20Contract.pdf,https://www.dropbox.com/s/dexfmmzobbaxalx/Goldtree%20SL%20Limited%20and%20Goldtree%20Holdings_Sierra%20Leone.xlsx,Limited,,,,,,,,,,,,,
,,"Nile Trading & Development, A Delaware Corporation",https://www.dropbox.com/home/Land%20Contracts/Contracts/South%20Sudan?preview=Makaya-Nile+Trading.pdf,https://www.dropbox.com/s/0slkr1c8jpc7srz/Nile%20Trading%20%26%20Development_South%20Sudan.xlsx,Limited,,,,,,,,,,,,,
,,KOMOR Enterprise Ltd,https://www.dropbox.com/s/ch8oe49xfjloygl/KOMOR%20Enterprise%20Ltd_East%20Timor_MOU.pdf,https://www.dropbox.com/s/ygs6fjx8ebpqt1h/KOMOR%20Enterprise%20Ltd_Timor-Leste.xlsm,Y,,,,,,,,,,,,,
,,S & P Energy Solutions Plc,https://www.dropbox.com/s/q3946v50sjlibwj/SP%20Energy%20%28Indian%20invest%20-%20biofuels%202010%29.pdf,https://www.dropbox.com/s/f32zgolefi619pj/S%26P%20Energy%20Solutions_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,Koh Kong Sugar Industry Company Limited,https://www.dropbox.com/s/77vj3t0mvb8u7bo/Koh_Kong_Sugar_Company_Limited__02.08.2006%20%28English%20version%29.pdf,https://www.dropbox.com/s/li2yt6p1cx3jja8/Koh%20Kong%20Sugar%20Industry%20Company%20Limited_Cambodia.xlsm,Y,,,,,,,,,,,,,
,,Whitefield Cotton Farm,https://www.dropbox.com/s/s9tra999ddny2ja/Whitefield%20%28Indian%20invest%20-%20cotton%202010%29.pdf,https://www.dropbox.com/s/dktg4mr4vgqozg2/Whitefield%20Cotton%20Farm_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
,,Sun Yeun Corporation,https://www.dropbox.com/s/7vkvvylqppvyqck/Sun%20Yeun%20-%20A-15.pdf,https://www.dropbox.com/s/ihv9i60nla26w36/Sun%20Yeun%20Corporation%20A-15_Liberia.xlsm,Y,,,,,,,,,,,,,
,,JVL OVERSEAS PTE LTD,https://www.dropbox.com/s/lng42bls66p2v04/JVL%20%28cotton%202012%29.pdf,https://www.dropbox.com/s/7sr5d8450pcavs4/JVL%20OVERSEAS_Ethiopia.xlsx,Limited,,,,,,,,,,,,,
